libssh 0.7.5-2
libssh2 1.8.0-2
libsystemd 237.64-1
libtasn1 4.13-1
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-1
libtiff4 3.9.7-1
libtirpc 1.0.2-3
libtool 2.4.6+40+g6ca5e224-4
libudev0-shim 1-2
libunistring 0.9.8-1
libunwind 1.2.1-1
libusb 1.0.21-2
libutil-linux 2.31.1-1
libuv 1.19.2-1
libva 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.7.0-1
libvpx1.3 1.3.0-1
libwacom 0.28-2
libwbclient 4.7.5-1
libwebp 0.6.1-1
libwrap 7.6.24-3
libx11 1.6.5-1
libx264 2:152.20171224-1
libxau 1.0.8-3
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-1
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20171006-1
linux 4.15.7-1
linux-api-headers 4.14.8-1
linux-firmware 20180119.2a713be-1
llvm-libs 5.0.1-2
lm_sensors 3.4.0-2
logrotate 3.13.0-1
lvm2 2.02.177-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.2-1
man-pages 4.15-1
mdadm 4.0-1
mesa 17.3.6-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.28.1-1
mlocate 0.26-6
modemmanager 1.8rc1+6+g0f377f94-1
mozilla-common 1.4-4
mpfr 4.0.1-1
mpg123 1.25.8-1
mtdev 1.1.5-1
nano 2.9.3-1
ncurses 6.1-3
neofetch 3.3.0-1
neon 0.30.2-2
net-snmp 5.7.3-7
net-tools 1.60.20180212git-1
netctl 1.15-1
nettle 3.4-1
networkmanager 1.10.5dev+3+g5159c34ea-1
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nilfs-utils 2.2.7-1
npth 1.5-1
nspr 4.18-1
nss 3.35-1
ntfs-3g 2017.3.23-1
openal 1.18.2-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-2
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.9-1
package-query 1.9.r380-2
pacman 5.0.2-2
pacman-mirrorlist 20180224-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.14-2
patch 2.7.6-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.31-1
perl 5.26.1-2
perl-clone 0.39-4
perl-dbi 1.640-1
perl-error 0.17025-2
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pinentry 1.1.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
pkgfile 17-1
polkit 0.113+34+g29ba7af-1
polybar 3.1.0-2
poppler 0.61.1-1
popt 1.16-9
ppp 2.4.7-4
procps-ng 3.3.12-3
psmisc 23.1-1
pulseaudio 11.1-1
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-1
python 3.6.4-2
python-appdirs 1.4.3-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.26.1-1
python-packaging 16.8-2
python-pip 9.0.1-3
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-1
python-setuptools 1:38.5.1-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-termcolor 1.1.0-5
python2 2.7.14-2
python2-cairo 1.16.2-1
python2-dbus 1.2.6-1
python2-gobject2 2.28.7-1
python2-notify 0.1.1-13
python2-urwid 2.0.1-1
qpdf 7.1.1-1
qt5-base 5.10.1-3
ranger 1.9.1-1
readline 7.0.003-1
reflector 2018-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.5-2
rpcbind 0.2.4-4
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.4-1
s-nail 14.9.7-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.8.0-2
